id,uk_2010_soc_code,name,proximity,exposure,in_employment,grouphier,group
207,5215,Welding trades,46.66666667,0.333333333,58638,Skilled Trades Occupations,grp5
254,5449,Other skilled trades,52,0.5,13853,Skilled Trades Occupations,grp5
135,3411,Artists,21.5,1,66614,Associate Professional And Technical Occupations,grp3
11,1136,Information technology and telecommunications directors,41,1,100794,"Managers, Directors And Senior Officials",grp1
154,3534,Finance and investment analysts and advisers,42,1,202803,Associate Professional And Technical Occupations,grp3
44,2123,Electrical engineers,48,1,48932,Professional Occupations,grp2
242,5421,Pre-press technicians,50.5,1,*,Skilled Trades Occupations,grp5
308,8121,Paper and wood machine operatives,51,1,23666,"Process, Plant And Machine Operatives",grp8
113,3116,"Planning, process and production technicians",57,1,22799,Associate Professional And Technical Occupations,grp3
203,5211,Smiths and forge workers,65,1,5523,Skilled Trades Occupations,grp5
225,5250,"Skilled metal, electrical and electronic trades supervisors",65,1,34003,Skilled Trades Occupations,grp5
140,3416,"Arts officers, producers and directors",55.85714286,1.428571429,95432,Associate Professional And Technical Occupations,grp3
116,3122,Draughtspersons,41.83333333,1.5,43967,Associate Professional And Technical Occupations,grp3
143,3422,"Product, clothing and related designers",53.08333333,1.666666667,82237,Associate Professional And Technical Occupations,grp3
136,3412,"Authors, writers and translators",39.75,1.75,61781,Associate Professional And Technical Occupations,grp3
334,8223,Agricultural machinery drivers,26.5,2,10063,"Process, Plant And Machine Operatives",grp8
90,2431,Architects,53,2,53650,Professional Occupations,grp2
94,2435,Chartered architectural technologists,53,2,*,Professional Occupations,grp2
345,9132,Industrial cleaning process occupations,57,2,26820,Elementary Occupations,grp9
347,9139,Elementary process plant occupations,57,2,128392,Elementary Occupations,grp9
169,3563,Vocational and industrial trainers and instructors,59,2,152927,Associate Professional And Technical Occupations,grp3
238,5412,Upholsterers,62,2,21186,Skilled Trades Occupations,grp5
87,2425,"Actuaries, economists and statisticians",39,2.142857143,47699,Professional Occupations,grp2
107,2473,Advertising accounts managers and creative directors,33,2.333333333,34715,Professional Occupations,grp2
162,3543,Marketing associate professionals,33,2.333333333,210844,Associate Professional And Technical Occupations,grp3
7,1132,Marketing and sales directors,47.5,2.5,227135,"Managers, Directors And Senior Officials",grp1
43,2122,Mechanical engineers,51.57142857,2.571428571,75026,Professional Occupations,grp2
251,5441,"Glass and ceramics makers, decorators and finishers",51.4,2.6,7433,Skilled Trades Occupations,grp5
156,3536,Importers and exporters,54.16666667,2.666666667,7749,Associate Professional And Technical Occupations,grp3
84,2421,Chartered and certified accountants,47.5,2.75,182194,Professional Occupations,grp2
155,3535,Taxation experts,47.5,2.75,34382,Associate Professional And Technical Occupations,grp3
152,3532,Brokers,50,2.75,53291,Associate Professional And Technical Occupations,grp3
45,2124,Electronics engineers,46.66666667,3,33308,Professional Occupations,grp2
188,4159,Other administrative occupations,49.5,3,76149,Administrative And Secretarial Occupations,grp4
316,8131,Assemblers (electrical and electronic products),53.4,3,28000,"Process, Plant And Machine Operatives",grp8
237,5411,Weavers and knitters,55,3,*,Skilled Trades Occupations,grp5
239,5413,Footwear and leather working trades,55,3,4740,Skilled Trades Occupations,grp5
157,3537,Financial and accounting technicians,45.75,3.375,15595,Associate Professional And Technical Occupations,grp3
101,2452,Archivists and curators,44,3.5,13577,Professional Occupations,grp2
47,2127,Production and process engineers,52,3.5,41790,Professional Occupations,grp2
315,8129,Plant and machine operatives,54,3.5,16449,"Process, Plant And Machine Operatives",grp8
304,8116,Plastics process operatives,58.33333333,3.583333333,14194,"Process, Plant And Machine Operatives",grp8
343,9119,Fishing and other elementary agriculture occupations,46.33333333,3.666666667,7500,Elementary Occupations,grp9
353,9234,"Launderers, dry cleaners and pressers",35,4,31880,Elementary Occupations,grp9
158,3538,Financial accounts managers,44,4,176939,Associate Professional And Technical Occupations,grp3
106,2472,Public relations professionals,46,4,52516,Professional Occupations,grp2
160,3541,Buyers and procurement officers,48.66666667,4,54510,Associate Professional And Technical Occupations,grp3
24,1221,Hotel and accommodation managers and proprietors,49,4,52132,"Managers, Directors And Senior Officials",grp1
26,1224,Publicans and managers of licensed premises,49,4,41213,"Managers, Directors And Senior Officials",grp1
4,1122,Production managers and directors in construction,50,4,207612,"Managers, Directors And Senior Officials",grp1
95,2436,Construction project managers and related professionals,50,4,86160,Professional Occupations,grp2
232,5319,Construction and building trades,50,4,36156,Skilled Trades Occupations,grp5
163,3544,Estate agents and auctioneers,54.75,4,50856,Associate Professional And Technical Occupations,grp3
318,8133,Routine inspectors and testers,65,4,68899,"Process, Plant And Machine Operatives",grp8
319,8134,"Weighers, graders and sorters",65,4,16395,"Process, Plant And Machine Operatives",grp8
228,5313,"Roofers, roof tilers and slaters",77,4,39435,Skilled Trades Occupations,grp5
367,9274,Bar staff,79,4,208254,Elementary Occupations,grp9
108,3111,Laboratory technicians,50.66666667,4.166666667,74677,Associate Professional And Technical Occupations,grp3
88,2426,Business and related research professionals,51.5,4.166666667,44678,Professional Occupations,grp2
89,2429,"Business, research and administrative professionals",51.5,4.166666667,44678,Professional Occupations,grp2
151,3531,"Estimators, valuers and assessors",46.4,4.2,61294,Associate Professional And Technical Occupations,grp3
335,8229,Mobile machine drivers and operatives,50.4,4.2,10063,"Process, Plant And Machine Operatives",grp8
85,2423,Management consultants and business analysts,49.75,4.25,174538,Professional Occupations,grp2
86,2424,Business and financial project management professionals,49.75,4.25,265645,Professional Occupations,grp2
103,2462,Quality assurance and regulatory professionals,49.75,4.25,89000,Professional Occupations,grp2
252,5442,Furniture makers and other craft woodworkers,54,4.25,31741,Skilled Trades Occupations,grp5
10,1135,Human resource managers and directors,39.66666667,4.333333333,199581,"Managers, Directors And Senior Officials",grp1
209,5221,Metal machining setters and setter-operators,53.63636364,4.454545455,46298,Skilled Trades Occupations,grp5
312,8125,Metal working machine operatives,53.63636364,4.454545455,69778,"Process, Plant And Machine Operatives",grp8
42,2121,Civil engineers,46.5,4.5,78921,Professional Occupations,grp2
221,5242,Telecommunications engineers,48,4.5,64178,Skilled Trades Occupations,grp5
159,3539,Business and related associate professionals,49.25,4.5,176939,Associate Professional And Technical Occupations,grp3
105,2471,"Journalists, newspaper and periodical editors",54.5,4.5,89595,Professional Occupations,grp2
317,8132,Assemblers (vehicles and metal goods),64.5,4.5,51772,"Process, Plant And Machine Operatives",grp8
93,2434,Chartered surveyors,47.33333333,4.666666667,55366,Professional Occupations,grp2
22,1211,Managers and proprietors in agriculture and horticulture,55.66666667,4.666666667,26258,"Managers, Directors And Senior Officials",grp1
23,1213,"Managers and proprietors in forestry, fishing and related services",55.66666667,4.666666667,9053,"Managers, Directors And Senior Officials",grp1
39,2113,Physical scientists,39.25,4.75,21515,Professional Occupations,grp2
153,3533,Insurance underwriters,52,5,33506,Associate Professional And Technical Occupations,grp3
305,8117,Metal making and treating process operatives,54.2,5,9110,"Process, Plant And Machine Operatives",grp8
301,8113,Textile process operatives,64,5,13211,"Process, Plant And Machine Operatives",grp8
346,9134,"Packers, bottlers, canners and fillers",70,5,128392,Elementary Occupations,grp9
283,7113,Telephone salespersons,77,5,25335,Sales And Customer Service Occupations,grp7
137,3413,"Actors, entertainers and presenters",95,5,37443,Associate Professional And Technical Occupations,grp3
302,8114,Chemical and related process operatives,53.66666667,5.166666667,34870,"Process, Plant And Machine Operatives",grp8
182,4132,Pensions and insurance clerks and assistants,56.28571429,5.285714286,74697,Administrative And Secretarial Occupations,grp4
164,3545,Sales accounts and business development managers,45.33333333,5.333333333,459175,Associate Professional And Technical Occupations,grp3
8,1133,Purchasing managers and directors,47.33333333,5.333333333,60482,"Managers, Directors And Senior Officials",grp1
14,1161,Managers and directors in transport and distribution,47.33333333,5.333333333,75042,"Managers, Directors And Senior Officials",grp1
15,1162,Managers and directors in storage and warehousing,47.33333333,5.333333333,115082,"Managers, Directors And Senior Officials",grp1
272,6212,Travel agents,59.66666667,5.333333333,36612,"Caring, Leisure And Other Service Occupations",grp6
110,3113,Engineering technicians,55.75,5.4375,111043,Associate Professional And Technical Occupations,grp3
6,1131,Financial managers and directors,44,5.5,322944,"Managers, Directors And Senior Officials",grp1
194,4214,Company secretaries,44,5.5,37779,Administrative And Secretarial Occupations,grp4
204,5212,"Moulders, core makers and die casters",68.5,5.5,*,Skilled Trades Occupations,grp5
300,8112,Glass and ceramics process operatives,53.33333333,5.555555556,5245,"Process, Plant And Machine Operatives",grp8
161,3542,Business sales executives,48,5.6,119388,Associate Professional And Technical Occupations,grp3
303,8115,Rubber process operatives,55.25,5.75,5317,"Process, Plant And Machine Operatives",grp8
222,5244,"TV, video and audio engineers",57,5.964285714,9387,Skilled Trades Occupations,grp5
224,5249,Electrical and electronic trades,57,5.964285714,35417,Skilled Trades Occupations,grp5
91,2432,Town planning officers,54,6,22535,Professional Occupations,grp2
199,5112,Horticultural trades,56.66666667,6,20323,Skilled Trades Occupations,grp5
200,5113,Gardeners and landscape gardeners,56.66666667,6,148651,Skilled Trades Occupations,grp5
201,5114,Groundsmen and greenkeepers,56.66666667,6,29643,Skilled Trades Occupations,grp5
144,3441,Sports players,59,6,17476,Associate Professional And Technical Occupations,grp3
141,3417,"Photographers, audio-visual and broadcasting equipment operators",65,6,84160,Associate Professional And Technical Occupations,grp3
176,4121,Credit controllers,43.33333333,6.333333333,35881,Administrative And Secretarial Occupations,grp4
109,3112,Electrical and electronics technicians,57.25,6.5,30934,Associate Professional And Technical Occupations,grp3
220,5241,Electricians and electrical fitters,71.5,6.5,265160,Skilled Trades Occupations,grp5
55,2141,Conservation professionals,48.28571429,6.571428571,19758,Professional Occupations,grp2
56,2142,Environment professionals,48.28571429,6.571428571,49598,Professional Occupations,grp2
210,5222,"Tool makers, tool fitters and markers-out",61.33333333,6.833333333,11846,Skilled Trades Occupations,grp5
9,1134,Advertising and public relations directors,42,7,41674,"Managers, Directors And Senior Officials",grp1
117,3131,IT operations technicians,42,7,114788,Associate Professional And Technical Occupations,grp3
246,5432,Bakers and flour confectioners,55,7,29947,Skilled Trades Occupations,grp5
233,5321,Plasterers,59,7,50991,Skilled Trades Occupations,grp5
286,7121,Collector salespersons and credit agents,67,7,11456,Sales And Customer Service Occupations,grp7
288,7123,Roundspersons and van salespersons,67,7,29130,Sales And Customer Service Occupations,grp7
289,7124,Market and street traders and assistants,67,7,19432,Sales And Customer Service Occupations,grp7
362,9259,Elementary sales occupations,67,7,109680,Elementary Occupations,grp9
236,5330,Construction and building trades supervisors,74.5,7,47196,Skilled Trades Occupations,grp5
310,8123,Quarry workers and related operatives,59.64285714,7.333333333,6500,"Process, Plant And Machine Operatives",grp8
287,7122,"Debt, rent and other cash collectors",42,7.5,29989,Sales And Customer Service Occupations,grp7
3,1121,Production managers and directors in manufacturing,48,7.5,322413,"Managers, Directors And Senior Officials",grp1
235,5323,Painters and decorators,54,7.5,103231,Skilled Trades Occupations,grp5
323,8141,"Scaffolders, stagers and riggers",70.5,7.5,35195,"Process, Plant And Machine Operatives",grp8
307,8119,Process operatives,52.5,7.666666667,*,"Process, Plant And Machine Operatives",grp8
46,2126,Design and development engineers,49.11764706,8,75279,Professional Occupations,grp2
48,2129,Engineering professionals,49.11764706,8,41790,Professional Occupations,grp2
92,2433,Quantity surveyors,49.11764706,8,44160,Professional Occupations,grp2
102,2461,Quality control and planning engineers,49.11764706,8,33090,Professional Occupations,grp2
216,5234,Vehicle paint technicians,61,8,10882,Skilled Trades Occupations,grp5
138,3414,Dancers and choreographers,76,8,20897,Associate Professional And Technical Occupations,grp3
331,8215,Driving instructors,76,8,40764,"Process, Plant And Machine Operatives",grp8
299,8111,"Food, drink and tobacco process operatives",55.8,8.2,132152,"Process, Plant And Machine Operatives",grp8
13,1150,Financial institution managers and directors,47.66666667,8.333333333,91352,"Managers, Directors And Senior Officials",grp1
309,8122,Coal mine operatives,53.28571429,8.333333333,*,"Process, Plant And Machine Operatives",grp8
79,2318,Education advisers and school inspectors,51.5,8.5,23445,Professional Occupations,grp2
