id,uk_2010_soc_code,name,proximity,exposure,in_employment,grouphier,group
234,5322,Floorers and wall tilers,63.75,8.75,32077,Skilled Trades Occupations,grp5
189,4161,Office managers,47,9,177900,Administrative And Secretarial Occupations,grp4
190,4162,Office supervisors,47,9,37234,Administrative And Secretarial Occupations,grp4
298,7220,Customer service managers and supervisors,47,9,184932,Sales And Customer Service Occupations,grp7
5,1123,Production managers and directors in mining and energy,49.33333333,9,16553,"Managers, Directors And Senior Officials",grp1
12,1139,Functional managers and directors,49.33333333,9,100794,"Managers, Directors And Senior Officials",grp1
18,1173,"Senior officers in fire, ambulance, prison and related services",49.33333333,9,7349,"Managers, Directors And Senior Officials",grp1
28,1226,Travel agency managers and proprietors,49.33333333,9,14411,"Managers, Directors And Senior Officials",grp1
31,1251,"Property, housing and estate managers",49.33333333,9,166771,"Managers, Directors And Senior Officials",grp1
32,1252,Garage managers and proprietors,49.33333333,9,27496,"Managers, Directors And Senior Officials",grp1
33,1253,Hairdressing and beauty salon managers and proprietors,49.33333333,9,29533,"Managers, Directors And Senior Officials",grp1
35,1255,Waste disposal and environmental services managers,49.33333333,9,12104,"Managers, Directors And Senior Officials",grp1
36,1259,Managers and proprietors in other services,49.33333333,9,12104,"Managers, Directors And Senior Officials",grp1
184,4134,Transport and distribution clerks and assistants,58,9,67715,Administrative And Secretarial Occupations,grp4
338,8233,Air transport operatives,63.4,9,14438,"Process, Plant And Machine Operatives",grp8
340,8239,Other drivers and transport operatives,63.4,9,9339,"Process, Plant And Machine Operatives",grp8
363,9260,Elementary storage occupations,63.4,9,488070,Elementary Occupations,grp9
230,5315,Carpenters and joiners,80,9,225962,Skilled Trades Occupations,grp5
145,3442,"Sports coaches, instructors and officials",73.66666667,9.333333333,109166,Associate Professional And Technical Occupations,grp3
281,7111,Sales and retail assistants,68,9.5,1079488,Sales And Customer Service Occupations,grp7
285,7115,Vehicle and parts salespersons and advisers,68,9.5,42612,Sales And Customer Service Occupations,grp7
183,4133,Stock control clerks and assistants,63.33333333,9.666666667,104224,Administrative And Secretarial Occupations,grp4
206,5214,"Metal plate workers, and riveters",72.66666667,9.666666667,7096,Skilled Trades Occupations,grp5
226,5311,Steel erectors,72.66666667,9.666666667,8197,Skilled Trades Occupations,grp5
202,5119,Agricultural and fishing trades,39.75,9.75,29643,Skilled Trades Occupations,grp5
27,1225,Leisure and sports managers,52,9.8,67218,"Managers, Directors And Senior Officials",grp1
241,5419,"Textiles, garments and related trades",50,10,13421,Skilled Trades Occupations,grp5
333,8222,Fork-lift truck drivers,50,10,90067,"Process, Plant And Machine Operatives",grp8
40,2114,Social and humanities scientists,51.25,10,29861,Professional Occupations,grp2
214,5231,"Vehicle technicians, mechanics and electricians",55.72727273,10,159547,Skilled Trades Occupations,grp5
320,8135,"Tyre, exhaust and windscreen fitters",55.72727273,10,16199,"Process, Plant And Machine Operatives",grp8
332,8221,Crane drivers,56.8,10,16145,"Process, Plant And Machine Operatives",grp8
292,7130,Sales supervisors,66,10,200517,Sales And Customer Service Occupations,grp7
187,4151,Sales administrators,68,10,76149,Administrative And Secretarial Occupations,grp4
25,1223,Restaurant and catering establishment managers and proprietors,78,10,126695,"Managers, Directors And Senior Officials",grp1
250,5436,Catering and bar managers,78,10,79530,Skilled Trades Occupations,grp5
193,4213,School secretaries,50,10.5,73143,Administrative And Secretarial Occupations,grp4
195,4215,Personal assistants and other secretaries,50,10.5,184956,Administrative And Secretarial Occupations,grp4
306,8118,Electroplaters,55,10.66666667,*,"Process, Plant And Machine Operatives",grp8
57,2150,Research and development managers,43.6,11,51056,Professional Occupations,grp2
177,4122,"Book-keepers, payroll managers and wages clerks",54,11,433867,Administrative And Secretarial Occupations,grp4
179,4124,Finance officers,54,11,42749,Administrative And Secretarial Occupations,grp4
197,4217,Typists and related keyboard occupations,57,11,38862,Administrative And Secretarial Occupations,grp4
73,2311,Higher education teaching professionals,50.66666667,11.08333333,161935,Professional Occupations,grp2
215,5232,Vehicle body builders and repairers ,60.03030303,11.33333333,29578,Skilled Trades Occupations,grp5
327,8211,Large goods vehicle drivers,54,11.5,322700,"Process, Plant And Machine Operatives",grp8
313,8126,Water and sewerage plant operatives,58.33333333,11.5,11456,"Process, Plant And Machine Operatives",grp8
217,5235,Aircraft maintenance and related trades,61.5,11.5,18841,Skilled Trades Occupations,grp5
147,3511,Air traffic controllers,74,11.5,*,Associate Professional And Technical Occupations,grp3
1,1115,Chief executives and senior officials,48.66666667,11.66666667,110090,"Managers, Directors And Senior Officials",grp1
240,5414,Tailors and dressmakers,63,12,13421,Skilled Trades Occupations,grp5
37,2111,Chemical scientists,51.5,12.5,32050,Professional Occupations,grp2
227,5312,Bricklayers and masons,81.5,12.5,97068,Skilled Trades Occupations,grp5
205,5213,Sheet metal workers,64.33333333,12.66666667,8119,Skilled Trades Occupations,grp5
245,5431,Butchers,67.5,13,40592,Skilled Trades Occupations,grp5
247,5433,Fishmongers and poultry dressers,67.5,13,6702,Skilled Trades Occupations,grp5
212,5224,Precision instrument makers and repairers,56.25,13.25,31493,Skilled Trades Occupations,grp5
139,3415,Musicians,67.25,13.25,50001,Associate Professional And Technical Occupations,grp3
361,9251,Shelf fillers,69,13.25,109680,Elementary Occupations,grp9
341,9111,Farm workers,42.33333333,13.33333333,64519,Elementary Occupations,grp9
342,9112,Forestry workers,53.375,13.375,7500,Elementary Occupations,grp9
150,3520,Legal associate professionals,55.16666667,13.5,81459,Associate Professional And Technical Occupations,grp3
337,8232,Marine and waterways transport operatives,74,13.5,7963,"Process, Plant And Machine Operatives",grp8
344,9120,Elementary construction occupations,67.57142857,13.71428571,179000,Elementary Occupations,grp9
172,3567,Health and safety officers,62.16666667,13.83333333,56297,Associate Professional And Technical Occupations,grp3
81,2412,Barristers and judges,34,14,15810,Professional Occupations,grp2
82,2413,Solicitors,34,14,109308,Professional Occupations,grp2
83,2419,Legal professionals,34,14,109308,Professional Occupations,grp2
186,4138,Human resources administrative occupations,53,14,32038,Administrative And Secretarial Occupations,grp4
21,1190,Managers and directors in retail and wholesale,55,14,335731,"Managers, Directors And Senior Officials",grp1
34,1254,Shopkeepers and proprietors – wholesale and retail,55,14,120349,"Managers, Directors And Senior Officials",grp1
358,9242,Parking and civil enforcement occupations,68,14.2,13229,Elementary Occupations,grp9
359,9244,School midday and crossing patrol occupations,68,14.2,90525,Elementary Occupations,grp9
360,9249,Elementary security occupations,68,14.2,90525,Elementary Occupations,grp9
368,9275,Leisure and theme park attendants,68,14.2,40534,Elementary Occupations,grp9
78,2317,Senior professionals of educational establishments,50.75,14.25,98414,Professional Occupations,grp2
311,8124,Energy plant operatives,61.875,14.375,6361,"Process, Plant And Machine Operatives",grp8
168,3562,Human resources and industrial relations officers,45.66666667,14.66666667,132913,Associate Professional And Technical Occupations,grp3
170,3564,Careers advisers and vocational guidance specialists,45.66666667,14.66666667,20541,Associate Professional And Technical Occupations,grp3
223,5245,IT engineers,61.375,14.75,35417,Skilled Trades Occupations,grp5
166,3550,Conservation and environmental associate professionals,68,15,6669,Associate Professional And Technical Occupations,grp3
336,8231,Train and tram drivers,54.66666667,15.33333333,29014,"Process, Plant And Machine Operatives",grp8
339,8234,Rail transport operatives,56.66666667,15.33333333,9339,"Process, Plant And Machine Operatives",grp8
211,5223,Metal working production and maintenance fitters,68.44444444,15.44444444,214364,Skilled Trades Occupations,grp5
218,5236,Boat and ship builders and repairers,68.44444444,15.44444444,13709,Skilled Trades Occupations,grp5
219,5237,Rail and rolling stock builders and repairers,68.44444444,15.44444444,9046,Skilled Trades Occupations,grp5
275,6219,Leisure and travel service occupations,73.5,15.75,22859,"Caring, Leisure And Other Service Occupations",grp6
261,6132,Pest control officers,49.33333333,16,5628,"Caring, Leisure And Other Service Occupations",grp6
355,9236,Vehicle valeters and cleaners,55,16,24122,Elementary Occupations,grp9
112,3115,Quality assurance technicians,58.12,16.12,38120,Associate Professional And Technical Occupations,grp3
114,3119,"Science, engineering and production technicians",58.12,16.12,22799,Associate Professional And Technical Occupations,grp3
297,7219,Customer service occupations,47.5,17,10296,Sales And Customer Service Occupations,grp7
100,2451,Librarians,55.5,17,22962,Professional Occupations,grp2
75,2314,Secondary education teaching professionals,70,17,382152,Professional Occupations,grp2
365,9272,Kitchen and catering assistants,71.33333333,17,507275,Elementary Occupations,grp9
198,5111,Farmers,43,17.2,126489,Skilled Trades Occupations,grp5
51,2135,"IT business analysts, architects and systems designers",47,17.33333333,139873,Professional Occupations,grp2
213,5225,Air-conditioning and refrigeration engineers,63.66666667,17.66666667,18109,Skilled Trades Occupations,grp5
167,3561,Public services associate professionals,68,18,104256,Associate Professional And Technical Occupations,grp3
171,3565,Inspectors of standards and regulations,68,18,38310,Associate Professional And Technical Occupations,grp3
231,5316,"Glaziers, window fabricators and fitters",69,18,36156,Skilled Trades Occupations,grp5
149,3513,Ship and hovercraft officers,70,18,17507,Associate Professional And Technical Occupations,grp3
249,5435,Cooks,66.6,18.4,64700,Skilled Trades Occupations,grp5
174,4113,Local government administrative occupations,57.5,19,152808,Administrative And Secretarial Occupations,grp4
175,4114,Officers of non-governmental organisations,57.5,19,45674,Administrative And Secretarial Occupations,grp4
324,8142,Road construction operatives,76.5,20,20853,"Process, Plant And Machine Operatives",grp8
325,8143,Rail construction and maintenance operatives,76.5,20,11623,"Process, Plant And Machine Operatives",grp8
248,5434,Chefs,88,20.5,236530,Skilled Trades Occupations,grp5
348,9211,"Postal workers, mail sorters, messengers and couriers",64,20.8,161485,Elementary Occupations,grp9
294,7213,Telephonists,65.5,21,13030,Sales And Customer Service Occupations,grp7
295,7214,Communication operators,65.5,21,32716,Sales And Customer Service Occupations,grp7
274,6215,Rail travel assistants,79.5,21.5,22859,"Caring, Leisure And Other Service Occupations",grp6
296,7215,Market research interviewers,73,23,10296,Sales And Customer Service Occupations,grp7
148,3512,Aircraft pilots and flight engineers,76.66666667,23,25036,Associate Professional And Technical Occupations,grp3
277,6222,Beauticians and related occupations,89.57142857,23.57142857,97568,"Caring, Leisure And Other Service Occupations",grp6
74,2312,Further education teaching professionals,77,23.66666667,116184,Professional Occupations,grp2
30,1242,"Residential, day and domiciliary  care managers and proprietors",50,24,25098,"Managers, Directors And Senior Officials",grp1
185,4135,Library clerks and assistants,67.5,25,27869,Administrative And Secretarial Occupations,grp4
178,4123,Bank and post office clerks,79,25.5,105670,Administrative And Secretarial Occupations,grp4
180,4129,Financial administrative occupations,79,25.5,42749,Administrative And Secretarial Occupations,grp4
271,6211,Sports and leisure assistants,72.4,25.81428571,72122,"Caring, Leisure And Other Service Occupations",grp6
20,1184,Social services managers and directors,42,26,24446,"Managers, Directors And Senior Officials",grp1
98,2444,Clergy,51.5,26.5,55647,Professional Occupations,grp2
253,5443,Florists,68,27,13853,Skilled Trades Occupations,grp5
328,8212,Van drivers,75.8,27.4,275638,"Process, Plant And Machine Operatives",grp8
330,8214,Taxi and cab drivers and chauffeurs,75.8,27.4,207697,"Process, Plant And Machine Operatives",grp8
282,7112,Retail cashiers and check-out operators,72.5,27.5,200315,Sales And Customer Service Occupations,grp7
366,9273,Waiters and waitresses,75,27.5,261349,Elementary Occupations,grp9
146,3443,Fitness instructors,84.2,27.8,62127,Associate Professional And Technical Occupations,grp3
369,9279,Other elementary services occupations,64.75,27.85,40534,Elementary Occupations,grp9
134,3319,Protective service associate professionals,62,28.42857143,19252,Associate Professional And Technical Occupations,grp3
173,4112,National government administrative occupations,59.14285714,29.14285714,164367,Administrative And Secretarial Occupations,grp4
326,8149,Construction operatives,68.5,29.5,11623,"Process, Plant And Machine Operatives",grp8
111,3114,Building and civil engineering technicians,63.875,29.75,14868,Associate Professional And Technical Occupations,grp3
115,3121,Architectural and town planning technicians,63.875,29.75,29443,Associate Professional And Technical Occupations,grp3
181,4131,Records clerks and assistants,56,30,111528,Administrative And Secretarial Occupations,grp4
256,6122,Childminders and related occupations,79.75,30,126533,"Caring, Leisure And Other Service Occupations",grp6
257,6123,Playworkers,79.75,30,41727,"Caring, Leisure And Other Service Occupations",grp6
38,2112,Biological scientists and biochemists,44.81818182,30.54545455,85373,Professional Occupations,grp2
41,2119,Natural and social science professionals,44.81818182,30.54545455,29861,Professional Occupations,grp2
196,4216,Receptionists,52,31,255123,Administrative And Secretarial Occupations,grp4
59,2212,Psychologists,55.2,32.6,38719,Professional Occupations,grp2
70,2229,Therapy professionals,55.2,32.6,14617,Professional Occupations,grp2
276,6221,Hairdressers and barbers,89,32.75,161728,"Caring, Leisure And Other Service Occupations",grp6
357,9241,Security guards and related occupations,77.33333333,33,202350,Elementary Occupations,grp9
19,1181,Health services and public health managers and directors,45,34,63410,"Managers, Directors And Senior Officials",grp1
104,2463,Environmental health professionals,64.5,34,4649,Professional Occupations,grp2
80,2319,Teaching and other educational professionals,64,36,23445,Professional Occupations,grp2
255,6121,Nursery nurses and assistants,88,36,213889,"Caring, Leisure And Other Service Occupations",grp6
258,6125,Teaching assistants,88,36,298606,"Caring, Leisure And Other Service Occupations",grp6
259,6126,Educational support assistants,88,36,171276,"Caring, Leisure And Other Service Occupations",grp6
29,1241,Health care practice managers,56.5,37,25098,"Managers, Directors And Senior Officials",grp1
191,4211,Medical secretaries,56.5,37,63067,Administrative And Secretarial Occupations,grp4
293,7211,Call and contact centre occupations,62,37.66666667,115404,Sales And Customer Service Occupations,grp7
352,9233,Cleaners and domestics,48.33333333,38.33333333,575341,Elementary Occupations,grp9
356,9239,Elementary cleaning occupations,48.33333333,38.33333333,24122,Elementary Occupations,grp9
364,9271,Hospital porters,48.33333333,38.33333333,20671,Elementary Occupations,grp9
208,5216,Pipe fitters,73.33333333,38.33333333,12541,Skilled Trades Occupations,grp5
229,5314,Plumbers and heating and ventilating engineers,73.33333333,38.33333333,212389,Skilled Trades Occupations,grp5
354,9235,Refuse and salvage occupations,48.5,39.5,38432,Elementary Occupations,grp9
120,3216,Dispensing opticians,83,40,10933,Associate Professional And Technical Occupations,grp3
273,6214,Air travel assistants,85,40,48723,"Caring, Leisure And Other Service Occupations",grp6
284,7114,Pharmacy and other dispensing assistants,75.5,40.75,80347,Sales And Customer Service Occupations,grp7
267,6145,Care workers and home carers,84.75,41.25,759431,"Caring, Leisure And Other Service Occupations",grp6
268,6146,Senior care workers,84.75,41.25,80614,"Caring, Leisure And Other Service Occupations",grp6
349,9219,Elementary administration occupations,61.5,41.5,161485,Elementary Occupations,grp9
262,6139,Animal care services occupations,77,41.8,5628,"Caring, Leisure And Other Service Occupations",grp6
329,8213,Bus and coach drivers,73.75,43.25,137562,"Process, Plant And Machine Operatives",grp8
96,2442,Social workers,60.375,46.375,95788,Professional Occupations,grp2
97,2443,Probation officers,60.375,46.375,10771,Professional Occupations,grp2
99,2449,Welfare professionals,60.375,46.375,55647,Professional Occupations,grp2
127,3235,Counsellors,60.375,46.375,13839,Associate Professional And Technical Occupations,grp3
279,6232,Caretakers,48,47,69617,"Caring, Leisure And Other Service Occupations",grp6
350,9231,Window cleaners,48,47,30142,Elementary Occupations,grp9
278,6231,Housekeepers and related occupations,51,47,47231,"Caring, Leisure And Other Service Occupations",grp6
280,6240,Cleaning and housekeeping managers and supervisors,51,47,85178,"Caring, Leisure And Other Service Occupations",grp6
77,2316,Special needs education teaching professionals,83,48.8,83732,Professional Occupations,grp2
17,1172,Senior police officers,70.16666667,49,10098,"Managers, Directors And Senior Officials",grp1
76,2315,Primary and nursery education teaching professionals,74.5,50,424876,Professional Occupations,grp2
131,3313,Fire service officers (watch manager and below),78,53.75,39954,Associate Professional And Technical Occupations,grp3
124,3231,Youth and community workers,79,58,74526,Associate Professional And Technical Occupations,grp3
125,3233,Child and early years officers,79,58,40434,Associate Professional And Technical Occupations,grp3
126,3234,Housing officers,79,58,59551,Associate Professional And Technical Occupations,grp3
